artist,book,is_duplicate,file_count
_movie And Tv,Various Artists - Disney Solos For Violin,False,1
_movie And Tv,Various Artists - Star Trek - Deep Space Nine,False,1
_movie And Tv,Various Artists - Star Trek - Enterprise,False,1
_movie And Tv,Various Artists - Star Trek - First Contact,False,1
_movie And Tv,Various Artists - Star Trek - Star Trek,False,1
_movie And Tv,Various Artists - Star Trek - The Voyage Home,False,1
_movie And Tv,Various Artists - Star Trek - The Wrath Of Khan,False,2
_movie And Tv,Various Artists - Star Trek - Voyager,False,1
output,00a1aaf51d614b27,False,1
output,0118896785387d66,False,1
output,01a46850139ff99c,False,1
output,0209e7a74de138f6,False,1
output,02b4b59883ba5874,False,1
output,02ed70dda30ba9f0,False,1
output,03541bd7b4a582e7,False,1
output,04519b4dba8abdbf,False,1
output,04752a8a8b42d418,False,1
output,0484a19ca8938f7a,False,1
output,0488ac528243689d,False,1
output,04b8fe58fef8d99c,False,1
output,054cfd365aa7b6de,False,1
output,0659e2aefca07bae,False,1
output,07a57f61fafc0fc7,False,1
output,0822357bdd3a1f8d,False,1
output,086cdef472c543ba,False,1
output,0917bec4340ef788,False,1
output,092274c023b730b6,False,1
output,0b74cdbf125b0f91,False,1
output,0b74d23b165f0e04,False,1
output,0bd4457b3c238412,False,1
output,0c66a9c9392174b2,False,1
output,0c9c8f525786b94f,False,1
output,0e6efdb4e57f4c7f,False,1
output,0ec48df584f8e406,False,1
output,0f17a72b27078253,False,1
output,10024fb73ae2665e,False,1
output,103865d666184a36,False,1
output,129f1a7868e64c6b,False,1
output,12bba2c06b42ebd8,False,1
output,12fb34a18ad97e53,False,1
output,1324a0ed5cddc98b,False,1
output,139fe6c40cccc521,False,1
output,13ec4a07782c18ed,False,1
output,14305c8dfea42cb1,False,1
output,145c9c09ac506f5f,False,1
output,145f86db61234b51,False,1
output,1462e8df7b1893e9,False,1
output,148028cb53b10a7b,False,1
output,14ba16ab9eec736c,False,1
output,152ee1c9dc9f8411,False,1
output,16c6031f1db3509f,False,1
output,170d58e6877c492d,False,1
output,17e071f8fb51dac1,False,1
output,18bd367a8ec484b4,False,1
output,1910510b62d1e36a,False,1
output,1923852f2ef63081,False,1
output,19c2553d7e2b6f5e,False,1
output,1a3f9222373f6638,False,1
output,1a8f83853ced41c2,False,1
output,1ba78dde6952d8e1,False,1
output,1bc3bfe248b8aeda,False,1
output,1ce1455b109b8bc7,False,1
output,1d5660dd1abb6f5a,False,1
output,1db56544a4d4e850,False,1
output,1e10ef9dc3188dc7,False,1
output,1ede3c110b123b4d,False,1
output,1f0fb75362879870,False,1
output,1f5da1ef3b2f1bb9,False,1
output,1f7488474b70d57b,False,1
output,1fca9fd3d03e4a53,False,1
output,1feefaa31f0c554e,False,1
output,211f004eb807bc27,False,1
output,2187a8e870b1db20,False,1
output,21b8699cd1db44bf,False,1
output,21ec9732ff9a844e,False,1
