"Artist","BookName","SourcePath","HasFolder","HasPDFs","Status"
"Judy Garland","Judy Garland - Songbook","C:\Work\AWSMusic\SheetMusic\Judy Garland\Books\Judy Garland - Songbook.pdf","False","False","Missing"
"Katy Perry","Katy Perry - One Of The Boys [PVG Book]","C:\Work\AWSMusic\SheetMusic\Katy Perry\Books\Katy Perry - One Of The Boys [PVG Book].pdf","False","False","Missing"
"Kelly Clarkson","Kelly Clarkson - Breakaway (Book)","C:\Work\AWSMusic\SheetMusic\Kelly Clarkson\Books\Kelly Clarkson - Breakaway (Book).pdf","True","True","Complete"
"Kenny Rogers","Kenny Rogers - Love or Something Like It [Book]","C:\Work\AWSMusic\SheetMusic\Kenny Rogers\Books\Kenny Rogers - Love or Something Like It [Book].pdf","False","False","Missing"
"Kinks","Kinks - Best Of The Kinks [Score]","C:\Work\AWSMusic\SheetMusic\Kinks\Books\Kinks - Best Of The Kinks [Score].pdf","False","False","Missing"
"Kinks","Kinks - Best Of [Score]","C:\Work\AWSMusic\SheetMusic\Kinks\Books\Kinks - Best Of [Score].pdf","True","False","Empty"
"Kinks","Kinks - Great Songs of Kinks","C:\Work\AWSMusic\SheetMusic\Kinks\Books\Kinks - Great Songs of Kinks.pdf","False","False","Missing"
"Kinks","Kinks - Guitar Legends [Guitar]","C:\Work\AWSMusic\SheetMusic\Kinks\Books\Kinks - Guitar Legends [Guitar].pdf","False","False","Missing"
"Kinks","Kinks - Guitar Legends [Tab]","C:\Work\AWSMusic\SheetMusic\Kinks\Books\Kinks - Guitar Legends [Tab].pdf","True","False","Empty"
"Kinks","Kinks - Jam With The Kinks [Tab]","C:\Work\AWSMusic\SheetMusic\Kinks\Books\Kinks - Jam With The Kinks [Tab].pdf","False","False","Missing"
"Led Zepplin","Led Zeppelin - Led Zeppelin II","C:\Work\AWSMusic\SheetMusic\Led Zepplin\Books\Led Zeppelin - Led Zeppelin II.pdf","True","True","Complete"
"Led Zepplin","Led Zeppelin - Over The Hills And Far Away [PVG]","C:\Work\AWSMusic\SheetMusic\Led Zepplin\Books\Led Zeppelin - Over The Hills And Far Away [PVG].pdf","True","False","Empty"
"Lynyrd Skynyrd","Lynyrd Skynyrd - The New Best Of [Guitar Tab]","C:\Work\AWSMusic\SheetMusic\Lynyrd Skynyrd\Books\Lynyrd Skynyrd - The New Best Of [Guitar Tab].pdf","False","False","Missing"
"Mamas and the Papas","Mamas and The Papas - Songbook [PVG]","C:\Work\AWSMusic\SheetMusic\Mamas and the Papas\Books\Mamas and The Papas - Songbook [PVG].pdf","False","False","Missing"
"MeatLoaf","MeatLoaf - Bat Out Of Hell","C:\Work\AWSMusic\SheetMusic\MeatLoaf\Books\MeatLoaf - Bat Out Of Hell.pdf","False","False","Missing"
"Melissa Etheridge","Melissa Etheridge - Songbook","C:\Work\AWSMusic\SheetMusic\Melissa Etheridge\Books\Melissa Etheridge - Songbook.pdf","False","False","Missing"
"Michael Jackson","Michael Jackson - Great Songs Of [PVG]","C:\Work\AWSMusic\SheetMusic\Michael Jackson\Books\Michael Jackson - Great Songs Of [PVG].pdf","False","False","Missing"
"Michael Jackson","Michael Jackson - Number Ones [Book]","C:\Work\AWSMusic\SheetMusic\Michael Jackson\Books\Michael Jackson - Number Ones [Book].pdf","False","False","Missing"
"Michael Jackson","Michael Jackson - Number Ones","C:\Work\AWSMusic\SheetMusic\Michael Jackson\Books\Michael Jackson - Number Ones.pdf","False","False","Missing"
"Michael Jackson","Michael Jackson - The Great Songs Of","C:\Work\AWSMusic\SheetMusic\Michael Jackson\Books\Michael Jackson - The Great Songs Of.pdf","False","False","Missing"
"Michael Jackson","Michael Jackson - Thriller (The Complete Song Book)","C:\Work\AWSMusic\SheetMusic\Michael Jackson\Books\Michael Jackson - Thriller (The Complete Song Book).pdf","False","False","Missing"
"Monkees","Monkees - Greatest Hits","C:\Work\AWSMusic\SheetMusic\Monkees\Books\Monkees - Greatest Hits.pdf","False","False","Missing"
"Moody Blues","Moody Blues - Greatest Hits [PVG]","C:\Work\AWSMusic\SheetMusic\Moody Blues\Books\Moody Blues - Greatest Hits [PVG].pdf","False","False","Missing"
"Moody Blues","Moody Blues - Keys Of Kingdom [Band Score]","C:\Work\AWSMusic\SheetMusic\Moody Blues\Books\Moody Blues - Keys Of Kingdom [Band Score].pdf","False","False","Missing"
"Neil Diamond","Neil Diamond - The Essential Neil Diamond","C:\Work\AWSMusic\SheetMusic\Neil Diamond\Books\Neil Diamond - The Essential Neil Diamond.pdf","False","False","Missing"
"Neil Young","Neil Young - After the Goldrush [PVG Book]","C:\Work\AWSMusic\SheetMusic\Neil Young\Books\Neil Young - After the Goldrush [PVG Book].pdf","False","False","Missing"
"Neil Young","Neil Young - Decade [PVG Book]","C:\Work\AWSMusic\SheetMusic\Neil Young\Books\Neil Young - Decade [PVG Book] .pdf","False","False","Missing"
"Neil Young","Neil Young - Decade","C:\Work\AWSMusic\SheetMusic\Neil Young\Books\Neil Young - Decade.pdf","False","False","Missing"
"Neil Young","Neil Young - Greatest Hits [Guitar Tab]","C:\Work\AWSMusic\SheetMusic\Neil Young\Books\Neil Young - Greatest Hits [Guitar Tab].pdf","False","False","Missing"
"Neil Young","Neil Young - Harvest Moon [Guitar Tab]","C:\Work\AWSMusic\SheetMusic\Neil Young\Books\Neil Young - Harvest Moon [Guitar Tab].pdf","False","False","Missing"
"Neil Young","Neil Young - Harvest [Score]","C:\Work\AWSMusic\SheetMusic\Neil Young\Books\Neil Young - Harvest [Score].pdf","False","False","Missing"
"Neil Young","Neil Young - The Best Of Neil Young [PVG Book]","C:\Work\AWSMusic\SheetMusic\Neil Young\Books\Neil Young - The Best Of Neil Young [PVG Book].pdf","False","False","Missing"
"Night Ranger","Night Ranger - Best Of 2 [Jap Score]","C:\Work\AWSMusic\SheetMusic\Night Ranger\Books\Night Ranger - Best Of 2 [Jap Score].pdf","False","False","Missing"
"Night Ranger","Night Ranger - Seven Wishes [Jap Score]","C:\Work\AWSMusic\SheetMusic\Night Ranger\Books\Night Ranger - Seven Wishes [Jap Score].pdf","False","False","Missing"
"Paul McCartney","Paul McCartney - All The Best","C:\Work\AWSMusic\SheetMusic\Paul McCartney\Books\Paul McCartney - All The Best.pdf","False","False","Missing"
"Paul McCartney","Paul McCartney - Chaos And Creation In The Backyard [PVG Book]","C:\Work\AWSMusic\SheetMusic\Paul McCartney\Books\Paul McCartney - Chaos And Creation In The Backyard [PVG Book].pdf","False","False","Missing"
"Paul McCartney","Paul McCartney - Flowers In The Dirt","C:\Work\AWSMusic\SheetMusic\Paul McCartney\Books\Paul McCartney - Flowers In The Dirt.pdf","False","False","Missing"
"Paul McCartney","Paul McCartney - Press To Play","C:\Work\AWSMusic\SheetMusic\Paul McCartney\Books\Paul McCartney - Press To Play.pdf","False","False","Missing"
